Name,Pickup,Dropoff,Google Distance
Dhammondi 15 to gulshan 2,"23.744566444049873, 90.37256315086415","23.793589160750514, 90.41531553303945",12.4
Azad Mosque (Dhanmondi) To Purana Paltan,"23.723160254991075, 90.38771374929166","23.732273701219974, 90.41057223329862",3.7
Azad Mosque (Dhanmondi) To Kotwali,"23.723160254991075, 90.38771374929166","23.71018267717421, 90.40675573653705",3.4
Azad Mosque (Dhanmondi) To Armanitola,"23.723160254991075, 90.38771374929166","23.714474789970428, 90.40166961414154",2.3
Azad Mosque (Dhanmondi) To Chawkbazar,"23.723160254991075, 90.38771374929166","23.71657179212861, 90.39603086053421",1.3
Azad Mosque (Dhanmondi) To Motijheel,"23.723160254991075, 90.38771374929166","23.73303447928996, 90.41716489453002",5.3
Azad Mosque (Dhanmondi) To Tejgaon,"23.723160254991075, 90.38771374929166","23.75971835986349, 90.39091349447644",5.2
Azad Mosque (Dhanmondi) To Dhanmondi,"23.723160254991075, 90.38771374929166","23.74619071709292, 90.37421746317516",4.7
Azad Mosque (Dhanmondi) To Uttara,"23.723160254991075, 90.38771374929166","23.87416897344832, 90.39108988158193",22.4
Azad Mosque (Dhanmondi) To Mirpur,"23.723160254991075, 90.38771374929166","23.821928567297416, 90.36536926358303",12.9
Azad Mosque (Dhanmondi) To Mohammadpur,"23.723160254991075, 90.38771374929166","23.765874377010654, 90.3583108475684",7.3
Azad Mosque (Dhanmondi) To Gulshan 2,"23.723160254991075, 90.38771374929166","23.79479345976617, 90.41426510375673",13.6
Azad Mosque (Dhanmondi) To Banani,"23.723160254991075, 90.38771374929166","23.79357718124646, 90.40647799545194",12.4
Azad Mosque (Dhanmondi) To Baridhara,"23.723160254991075, 90.38771374929166","23.799984097716813, 90.42072145456558",11.9
Azad Mosque (Dhanmondi) To Bashundhara Residential Area (R/A),"23.723160254991075, 90.38771374929166","23.819979047760953, 90.43602058563276",21.2
Azad Mosque (Dhanmondi) To Farmgate,"23.723160254991075, 90.38771374929166","23.756163702068022, 90.38739806979204",5.4
Azad Mosque (Dhanmondi) To Agargaon,"23.723160254991075, 90.38771374929166","23.779451112079606, 90.38030747357772",8.6
Azad Mosque (Dhanmondi) To Shahbagh,"23.723160254991075, 90.38771374929166","23.739324300151807, 90.395844665572",2.6
Azad Mosque (Dhanmondi) To Khilkhet,"23.723160254991075, 90.38771374929166","23.831056137581886, 90.42409697444373",17.7
Azad Mosque (Dhanmondi) To Uttarkhan,"23.723160254991075, 90.38771374929166","23.87265592237122, 90.44814494717664",28.8
Azad Mosque (Dhanmondi) To Dakshinkhan,"23.723160254991075, 90.38771374929166","23.85222513782949, 90.42655359169058",20
Azad Mosque (Dhanmondi) To Banasree,"23.723160254991075, 90.38771374929166","23.762013826955457, 90.43335231871605",9.5
Azad Mosque (Dhanmondi) To Aftab Nagar,"23.723160254991075, 90.38771374929166","23.764255603444784, 90.44664310179195",12.8
Azad Mosque (Dhanmondi) To Kawran Bazar,"23.723160254991075, 90.38771374929166","23.75164653195784, 90.39422350524823",4.2
Azad Mosque (Dhanmondi) To Malibagh,"23.723160254991075, 90.38771374929166","23.747044462653157, 90.41281377715275",5.8
Azad Mosque (Dhanmondi) To New Market,"23.723160254991075, 90.38771374929166","23.733043526135777, 90.38469965072998",1.7
Azad Mosque (Dhanmondi) To Naya Paltan,"23.723160254991075, 90.38771374929166","23.734460151459288, 90.41363525645356",4.1
Azad Mosque (Dhanmondi) To Airport Railway,"23.723160254991075, 90.38771374929166","23.85203431654994, 90.40809109492858",21.2
Azad Mosque (Dhanmondi) To Niketon,"23.723160254991075, 90.38771374929166","23.773018687295217, 90.40964243938514",8.5
Azad Mosque (Dhanmondi) To Wari,"23.723160254991075, 90.38771374929166","23.71719499147384, 90.41789022209967",5.5
Azad Mosque (Dhanmondi) To Segunbagicha,"23.723160254991075, 90.38771374929166","23.731501348262384, 90.40676928065153",2.9
Azad Mosque (Dhanmondi) To Motsho Bhaban,"23.723160254991075, 90.38771374929166","23.73418396434512, 90.40405739492458",3.9
Azad Mosque (Dhanmondi) To Shantinagar,"23.723160254991075, 90.38771374929166","23.738192811403504, 90.41416757924095",4.6
Azad Mosque (Dhanmondi) To Jatrabari,"23.723160254991075, 90.38771374929166","23.7102964153694, 90.43454494716097",6.1
Azad Mosque (Dhanmondi) To Sadarghat,"23.723160254991075, 90.38771374929166","23.704868129402115, 90.4157283750005",4.4
Azad Mosque (Dhanmondi) To Mohakhali,"23.723160254991075, 90.38771374929166","23.777854677596434, 90.4057479875048",9.2
Azad Mosque (Dhanmondi) To Banani DOHS,"23.723160254991075, 90.38771374929166","23.79326478964714, 90.39893695630103",9.8
Azad Mosque (Dhanmondi) To Baridhara DOHS,"23.723160254991075, 90.38771374929166","23.8125933316261, 90.41299491840999",17.2
Azad Mosque (Dhanmondi) To Abdullahpur,"23.723160254991075, 90.38771374929166","23.880087376148854, 90.40108172376549",22
Azad Mosque (Dhanmondi) To Ramna ,"23.723160254991075, 90.38771374929166","23.733010605825754, 90.39838923841842",2.4
Azad Mosque (Dhanmondi) To Housebuilding,"23.723160254991075, 90.38771374929166","23.87472562982738, 90.40055033910889",26.7
Azad Mosque (Dhanmondi) To Shyamoli,"23.723160254991075, 90.38771374929166","23.770944853769944, 90.3643630494088",7.4
Azad Mosque (Dhanmondi) To Pallabi,"23.723160254991075, 90.38771374929166","23.82643315131396, 90.3642554210073",14.7
