Name,Pickup,Dropoff,Google Distance,bike,car,deviation_bike,deviation_car
Dhammondi 15 to gulshan 2,"23.744566444049873, 90.37256315086415","23.793589160750514, 90.41531553303945",12.4,11.33,11.33,-1.07,-1.07
Azad Mosque (Dhanmondi) To Purana Paltan,"23.723160254991075, 90.38771374929166","23.732273701219974, 90.41057223329862",3.7,3.31,3.31,-0.39,-0.39
Azad Mosque (Dhanmondi) To Kotwali,"23.723160254991075, 90.38771374929166","23.71018267717421, 90.40675573653705",3.4,3.17,3.17,-0.23,-0.23
Azad Mosque (Dhanmondi) To Armanitola,"23.723160254991075, 90.38771374929166","23.714474789970428, 90.40166961414154",2.3,2.82,2.82,0.52,0.52
Azad Mosque (Dhanmondi) To Chawkbazar,"23.723160254991075, 90.38771374929166","23.71657179212861, 90.39603086053421",1.3,1.72,1.72,0.42,0.42
Azad Mosque (Dhanmondi) To Motijheel,"23.723160254991075, 90.38771374929166","23.73303447928996, 90.41716489453002",5.3,4.13,4.13,-1.17,-1.17
Azad Mosque (Dhanmondi) To Tejgaon,"23.723160254991075, 90.38771374929166","23.75971835986349, 90.39091349447644",5.2,5.27,5.27,0.07,0.07
Azad Mosque (Dhanmondi) To Dhanmondi,"23.723160254991075, 90.38771374929166","23.74619071709292, 90.37421746317516",4.7,3.61,3.61,-1.09,-1.09
Azad Mosque (Dhanmondi) To Uttara,"23.723160254991075, 90.38771374929166","23.87416897344832, 90.39108988158193",22.4,21.01,21.01,-1.39,-1.39
Azad Mosque (Dhanmondi) To Mirpur,"23.723160254991075, 90.38771374929166","23.821928567297416, 90.36536926358303",12.9,12.91,12.91,0.01,0.01
Azad Mosque (Dhanmondi) To Mohammadpur,"23.723160254991075, 90.38771374929166","23.765874377010654, 90.3583108475684",7.3,6.8,6.8,-0.5,-0.5
Azad Mosque (Dhanmondi) To Gulshan 2,"23.723160254991075, 90.38771374929166","23.79479345976617, 90.41426510375673",13.6,11.31,11.31,-2.29,-2.29
Azad Mosque (Dhanmondi) To Banani,"23.723160254991075, 90.38771374929166","23.79357718124646, 90.40647799545194",12.4,11.32,11.32,-1.08,-1.08
Azad Mosque (Dhanmondi) To Baridhara,"23.723160254991075, 90.38771374929166","23.799984097716813, 90.42072145456558",11.9,12.44,12.44,0.54,0.54
Azad Mosque (Dhanmondi) To Bashundhara Residential Area (R/A),"23.723160254991075, 90.38771374929166","23.819979047760953, 90.43602058563276",21.2,19.67,19.67,-1.53,-1.53
Azad Mosque (Dhanmondi) To Farmgate,"23.723160254991075, 90.38771374929166","23.756163702068022, 90.38739806979204",5.4,4.2,4.2,-1.2,-1.2
Azad Mosque (Dhanmondi) To Agargaon,"23.723160254991075, 90.38771374929166","23.779451112079606, 90.38030747357772",8.6,8.01,8.01,-0.59,-0.59
Azad Mosque (Dhanmondi) To Shahbagh,"23.723160254991075, 90.38771374929166","23.739324300151807, 90.395844665572",2.6,2.64,2.64,0.04,0.04
Azad Mosque (Dhanmondi) To Khilkhet,"23.723160254991075, 90.38771374929166","23.831056137581886, 90.42409697444373",17.7,17.62,17.62,-0.08,-0.08
Azad Mosque (Dhanmondi) To Uttarkhan,"23.723160254991075, 90.38771374929166","23.87265592237122, 90.44814494717664",28.8,26.19,25.94,-2.61,-2.86
Azad Mosque (Dhanmondi) To Dakshinkhan,"23.723160254991075, 90.38771374929166","23.85222513782949, 90.42655359169058",20.0,19.64,19.64,-0.36,-0.36
Azad Mosque (Dhanmondi) To Banasree,"23.723160254991075, 90.38771374929166","23.762013826955457, 90.43335231871605",9.5,8.97,9.77,-0.53,0.27
Azad Mosque (Dhanmondi) To Aftab Nagar,"23.723160254991075, 90.38771374929166","23.764255603444784, 90.44664310179195",12.8,12.32,12.32,-0.48,-0.48
Azad Mosque (Dhanmondi) To Kawran Bazar,"23.723160254991075, 90.38771374929166","23.75164653195784, 90.39422350524823",4.2,4.22,4.22,0.02,0.02
Azad Mosque (Dhanmondi) To Malibagh,"23.723160254991075, 90.38771374929166","23.747044462653157, 90.41281377715275",5.8,5.84,5.84,0.04,0.04
Azad Mosque (Dhanmondi) To New Market,"23.723160254991075, 90.38771374929166","23.733043526135777, 90.38469965072998",1.7,1.69,1.69,-0.01,-0.01
