hashed_id,estimated_pickup_latitude,estimated_pickup_longitude,estimated_dropoff_latitude,estimated_dropoff_longitude
I6JH60,23.79756800,90.41397200,23.77377000,90.41678000
I6I0ML,23.82201834,90.44076405,23.83525290,90.43430330
I6I2CS,23.76291159,90.42184241,23.82575803,90.37057199
I6I8EI,23.75606432,90.42991519,23.74492955,90.40220092
I6GO38,23.72734170,90.37228793,23.70583743,90.40946024
I6JOMP,23.74604532,90.39476585,23.77241430,90.36465183
I6JPBM,23.78999200,90.40104700,23.74923800,90.38298500
I6JMIM,23.80468917,90.34770783,23.73162651,90.42574700
I6IB2J,23.74310802,90.45187712,23.74973367,90.36862343
I6HEAB,22.32195189,91.80648856,22.36016668,91.78542517
I6HCC7,22.33287533,91.82049975,22.35735806,91.84135392
I6FTEB,22.36968178,91.81958556,22.35673000,91.83692000
I6K1FM,23.71989217,90.38874563,23.79972900,90.35623100
I6JF3I,23.82380500,90.43474400,23.77358401,90.36136627
I6FCED,23.72917655,90.38018838,23.73162651,90.42574700
I6K7L2,23.77190000,90.40110800,23.73631840,90.42859420
I6I2OP,22.36126245,91.84023041,22.36305151,91.79119762
I6JSGS,22.35914900,91.78207400,22.33572000,91.78611000
I6K63R,23.86774565,90.39550513,23.99266377,90.38216550
I6GTFE,23.87481900,90.39092400,23.70583743,90.40946024
I6I42P,23.83964300,90.37499400,23.77465354,90.36542925
I6J1GD,23.79455167,90.41926950,23.82130800,90.43136900
I6JBRE,23.81187221,90.42087715,23.77206500,90.37729200
I6JI25,23.82940900,90.36779300,23.85012300,90.40777000
I6ILPB,23.79501259,90.41425847,23.75211800,90.42580900
I6FHFA,23.76186614,90.43942094,23.70796005,90.42363446
I6G83K,22.35883525,91.83512215,22.34731567,91.81926627
I6KAFA,22.34846453,91.82303406,22.33126724,91.81729206
I6GIJC,23.82033631,90.43850751,23.80237023,90.40712264
I6IC2B,23.78918380,90.41654850,23.80631910,90.42077860
I6K9PK,23.76213126,90.44178128,23.82539000,90.37110000
I6GS8M,23.77146388,90.42389397,23.74222508,90.36918763
I6GR9S,27.73482769,85.35755619,27.72899123,85.33368856
I6FK85,23.75992619,90.44421002,23.70583743,90.40946024
I6FCAP,23.77863494,90.35999000,23.77576650,90.40187169
I78656,27.71359180,85.31023230,27.66772019,85.31339429
I5S64P,23.69431679,90.42532694,23.72114392,90.38420197
I5S526,23.78799900,90.36067185,23.88491740,90.40017653
I5S5SE,23.76932310,90.35857212,23.77329322,90.32794624
I5SEQC,23.80507476,90.41603308,23.74566100,90.41191500
I5OGLP,23.76199778,90.35763871,23.70583743,90.40946024
I5QAJC,23.82162708,90.42965275,23.74929100,90.38162200
I5QGFO,23.81608600,90.42657200,23.76432400,90.43283200
I5Q82J,23.78869500,90.41645100,23.76491010,90.39393570
I5PRRE,23.74843076,90.41607633,23.69476600,90.49036140
I5QQEG,23.75865702,90.34479294,23.77647804,90.36312485
I5SFAN,23.83386100,90.41619000,23.79198850,90.40574990
I5P6FJ,23.82117365,90.43297660,23.78691885,90.35330133
I5N2RE,27.73553546,85.30624218,27.72599260,85.30002280
I5S9RF,23.81553100,90.42810800,23.79874700,90.42610900
I5PQQ3,23.81624313,90.42631097,23.81678600,90.36751500
I5P4GH,23.78847049,90.39399640,23.80592337,90.36926374
I5NN0Q,23.80033259,90.36052309,23.79879500,90.41237500
I5NGJ8,23.71418947,90.43514147,23.78846700,90.42512900
I5QGFC,23.75598454,90.34858357,23.79099393,90.40694119
I5RSJ4,27.70333045,85.31286959,27.69142629,85.33833462
I5RQRO,23.74141179,90.37439715,23.76595521,90.35674386
I5SC0T,23.80123534,90.42141209,23.77880431,90.35744693
I5SB0P,23.72082070,90.42535275,23.75799342,90.44124155
I5RJMS,23.78043563,90.41694403,23.82355300,90.43585100
I5NR17,23.86511834,90.39455429,23.77105400,90.40869400
I5RI9R,22.36282300,91.82122300,22.35347714,91.83688201
I5QBGT,23.76443048,90.41634616,23.72437700,90.40695900
I5SA0B,23.77144056,90.39508570,23.73162651,90.42574700
I5NDA2,23.82145951,90.44237874,23.72738677,90.42163136
