estimated_pickup_latitude,estimated_pickup_longitude,pickup_hex,estimated_dropoff_latitude,estimated_dropoff_longitude,dropoff_hex
23.7395854,90.40192835,893cf1764a7ffff,23.73967827,90.40197268,893cf1764a7ffff
23.82213182,90.36692854,893cf10e953ffff,23.8219723,90.3669241,893cf10e953ffff
23.70086307,90.40126584,893cf176283ffff,23.70097911,90.40108748,893cf176283ffff
23.8719154,90.39930582,893cf105827ffff,23.8719154,90.39930582,893cf105827ffff
27.6902,85.3359,893c02d6d8fffff,27.6898684,85.3356412,893c02d6d8fffff
27.75815353,85.36138639,893c02983b7ffff,27.75783547,85.36198117,893c02983b7ffff
27.7025168,85.35176933,893c0299e2bffff,27.70207153,85.35137638,893c0299e2bffff
27.00977691,84.88869781,893c153994bffff,27.00822854,84.88816291,893c153994bffff
23.75773336,90.37431166,893cf10c84bffff,23.75763087,90.37432507,893cf10c84bffff
27.7333991,85.34633718,893c0299c8fffff,27.73255333,85.34758206,893c0299c8fffff
27.66646829,85.33240847,893c02d6817ffff,27.66646829,85.33240847,893c02d6817ffff
27.70991659,85.31772707,893c029914bffff,27.71068714,85.3197689,893c029914bffff
27.68943259,85.30803457,893c029922fffff,27.6897069,85.3073238,893c029922fffff
23.82270414,90.43471064,893cf13b1cfffff,23.82226954,90.43473009,893cf13b1cfffff
23.82227138,90.34060065,893cf10e8c3ffff,23.82200576,90.33931453,893cf10e8c3ffff
27.6635104,85.33141505,893c02d6803ffff,27.664066,85.332314,893c02d6803ffff
27.61675951,85.31747863,893c02d410bffff,27.61675951,85.31747863,893c02d410bffff
27.67591184,85.31819008,893c02d6c3bffff,27.67591184,85.31819008,893c02d6c3bffff
28.18782055,83.96925961,893c33a7403ffff,28.18893455,83.96947984,893c33a7403ffff
27.71816265,85.3121179,893c02991dbffff,27.7181,85.312,893c02991dbffff
27.72937911,85.30372091,893c0299557ffff,27.72937911,85.30372091,893c0299557ffff
27.68421599,85.34127485,893c02d6d07ffff,27.68448198,85.34156899,893c02d6d07ffff
27.72063231,85.3463744,893c0299c47ffff,27.72063231,85.3463744,893c0299c47ffff
27.61577796,85.31741761,893c02d4147ffff,27.61587035,85.31907924,893c02d4147ffff
