pickup_hex,dropoff_hex,ride_count
893c028120fffff,893c02d6933ffff,1
893c0281243ffff,893c02d6c6fffff,1
893c028124bffff,893c028a1a3ffff,1
893c0281607ffff,893c02998b7ffff,1
893c0281647ffff,893c0281673ffff,1
893c0281647ffff,893c028a58bffff,1
893c028164bffff,893c0288683ffff,1
893c0281673ffff,893c028b46fffff,1
893c0281673ffff,893c0299a2fffff,1
893c02816c7ffff,893c0298ac3ffff,1
893c0288013ffff,893c0288687ffff,1
893c0288027ffff,893c0288027ffff,1
893c0288027ffff,893c0288037ffff,2
893c0288027ffff,893c02880afffff,1
893c0288027ffff,893c0288153ffff,1
893c0288027ffff,893c028b123ffff,1
893c0288033ffff,893c02880abffff,1
893c0288037ffff,893c0288027ffff,1
893c0288037ffff,893c02880abffff,1
893c0288043ffff,893c028b093ffff,1
893c0288043ffff,893c028b0b7ffff,1
893c028804fffff,893c028b373ffff,1
893c028804fffff,893c028b597ffff,2
893c028806bffff,893c029824fffff,1
893c028807bffff,893c028b18fffff,1
893c0288097ffff,893c028854fffff,2
893c02880abffff,893c0288033ffff,3
893c02880abffff,893c0288447ffff,1
893c02880abffff,893c0298343ffff,1
893c02880afffff,893c0288033ffff,1
893c02880afffff,893c0288697ffff,1
893c02880bbffff,893c028b53bffff,1
893c02880bbffff,893c0298acbffff,1
893c02880cbffff,893c028b033ffff,1
893c02880cfffff,893c0299887ffff,1
893c02880dbffff,893c0299073ffff,1
893c0288143ffff,893c0288153ffff,1
893c0288153ffff,893c0288027ffff,2
893c0288153ffff,893c0288153ffff,1
893c0288153ffff,893c02881cfffff,6
893c028818bffff,893c0288687ffff,1
893c02881c3ffff,893c0288153ffff,1
893c02881c3ffff,893c02881c3ffff,1
893c02881c3ffff,893c02881d7ffff,2
893c02881cfffff,893c0288153ffff,2
893c02881cfffff,893c02881c3ffff,4
893c02881cfffff,893c02881cbffff,1
893c02881cfffff,893c02881cfffff,3
893c02881cfffff,893c02881d7ffff,9
893c02881cfffff,893c028856fffff,1
893c02881cfffff,893c028857bffff,1
893c02881d7ffff,893c02881cfffff,7
893c02881d7ffff,893c02881d7ffff,1
893c02881d7ffff,893c0288567ffff,4
893c02881d7ffff,893c028856fffff,5
893c02881dbffff,893c028b1cbffff,1
893c0288217ffff,893c029938bffff,1
893c028822fffff,893c066c12fffff,1
893c028822fffff,893c066c16fffff,1
893c02882a3ffff,893c02884cfffff,1
893c02882afffff,893c02d6817ffff,1
893c02882b3ffff,893c02d6bcfffff,1
893c02882bbffff,893c028b0b7ffff,1
893c0288333ffff,893c0299a23ffff,2
893c028834bffff,893c02884d7ffff,1
893c028834bffff,893c028b3afffff,1
893c028834fffff,893c0288663ffff,1
893c028834fffff,893c02d6d8fffff,1
893c0288353ffff,893c028b0dbffff,1
893c02883b7ffff,893c02d69abffff,2
893c0288403ffff,893c028b167ffff,1
893c0288403ffff,893c028b457ffff,1
893c0288403ffff,893c028b52bffff,1
893c0288403ffff,893c0299a27ffff,1
893c0288403ffff,893c0299babffff,1
893c0288403ffff,893c02d68d7ffff,1
893c028840bffff,893c0288083ffff,1
893c028840bffff,893c028a293ffff,1
893c028840bffff,893c0299513ffff,1
893c028840bffff,893c0299bcbffff,1
893c028840bffff,893c02d698fffff,1
893c0288413ffff,893c02991cbffff,1
893c0288413ffff,893c0299ad7ffff,1
893c0288413ffff,893c0299d6bffff,1
893c0288413ffff,893c02d69abffff,1
