Pickup Area,"Popular Pickup Lat,Lon",Destination,"Popular Destination Lat, Lon",OSRM_distance_km_car,OSRM_distance_km_bike,diff_car,diff_bike
100ft Road,"23.799495535917075, 90.44219899922044",300ft,"23.82964547788351, 90.44586855718306",4.39,4.39,,
100ft Road,"23.799495535917075, 90.44219899922044",Abdullahpur,"23.878798883513277, 90.40140566107303",14.26,15.28,,
100ft Road,"23.799495535917075, 90.44219899922044",Abul Hotel,"23.754778817124492, 90.41540918143296",7.28,7.28,,
100ft Road,"23.799495535917075, 90.44219899922044",Agargaon,"23.778368928990123, 90.37892726054524",11.21,11.21,,
100ft Road,"23.799495535917075, 90.44219899922044",Adabar,"23.773306970492246, 90.3547037547482",14.16,14.16,,
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block A,"23.767873299704757, 90.42702936608984",5.84,5.84,,
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block B,"23.766876165679978, 90.42883303416174",6.06,6.06,,
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block C,"23.76599057441033, 90.43086163011533",6.3,6.3,,
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block D,"23.764350745011754, 90.43551794462489",7.89,7.89,,
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block E,"23.768967591654896, 90.43979727576547",7.76,7.76,,
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block F,"23.767646824369876, 90.44095786608983",7.58,7.58,,
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block G,"23.763993717450564, 90.44705739629664",8.13,8.13,,
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block H,"23.761367264147058, 90.44274203622952",7.83,7.83,,
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block N,"23.77397492732673, 90.4585882845671",10.19,7.96,,
100ft Road,"23.799495535917075, 90.44219899922044",Ahsan Manzil,"23.708817214034582, 90.40605307282843",14.02,13.8,,
100ft Road,"23.799495535917075, 90.44219899922044",Airport Railway Station,"23.85187216330197, 90.40808625149042",12.5,12.5,,
100ft Road,"23.799495535917075, 90.44219899922044",AIUB Pocket Gate,"23.82101339617473, 90.42737688630989",4.09,4.09,,
100ft Road,"23.799495535917075, 90.44219899922044",Ansarbagh,"23.757823773705237, 90.43551384618688",7.71,7.93,,
100ft Road,"23.799495535917075, 90.44219899922044",Arambagh,"23.731760422431627, 90.41892331465192",10.49,10.49,,
100ft Road,"23.799495535917075, 90.44219899922044",Armanitola,"23.716311404960187, 90.40133975433335",13.74,13.74,,
100ft Road,"23.799495535917075, 90.44219899922044",Armenian Church,"23.712709593488363, 90.40238466793929",13.62,13.62,,
100ft Road,"23.799495535917075, 90.44219899922044",Asad Gate,"23.76003967622698, 90.37302587587926",11.48,11.48,,
100ft Road,"23.799495535917075, 90.44219899922044",Ashkuna Haji Camp,"23.850536914491794, 90.41196425630297",11.24,11.24,,
100ft Road,"23.799495535917075, 90.44219899922044",Ashulia,"23.897499133724487, 90.33078037428804",22.73,22.73,,
100ft Road,"23.799495535917075, 90.44219899922044",Azad Mosque (Dhanmondi),"23.723457876062444, 90.38910539637354",13.17,13.17,,
100ft Road,"23.799495535917075, 90.44219899922044",Azampur,"23.867843070567336, 90.40013983176523",11.86,11.86,,
100ft Road,"23.799495535917075, 90.44219899922044",Azimpur,"23.72723004477641, 90.38621547855664",13.1,13.1,,
100ft Road,"23.799495535917075, 90.44219899922044",Babubazar,"23.714359664356653, 90.39458752348794",13.32,13.46,,
100ft Road,"23.799495535917075, 90.44219899922044",Badda,"23.780568079273614, 90.42649619466724",4.22,4.22,,
100ft Road,"23.799495535917075, 90.44219899922044",Baitul Mukarram Mosque,"23.729491621601635, 90.4127217167163",10.88,10.88,,
100ft Road,"23.799495535917075, 90.44219899922044",Baldha Garden,"23.716916774125067, 90.41941883725221",13.18,12.6,,
100ft Road,"23.799495535917075, 90.44219899922044",Banani 11,"23.723160254991075, 90.38771374929166",13.48,13.48,,
100ft Road,"23.799495535917075, 90.44219899922044",Banani SuperMarket,"23.79350541605234, 90.40689722271105",4.37,4.37,,
100ft Road,"23.799495535917075, 90.44219899922044",Banani Block J,"23.796668895469587, 90.40603147773179",4.83,4.83,,
100ft Road,"23.799495535917075, 90.44219899922044",Banani DOHS,"23.792950646497655, 90.39896914281933",6.87,6.87,,
100ft Road,"23.799495535917075, 90.44219899922044",Banasree Block C,"23.762317411154488, 90.43041073855908",7.13,7.13,,
100ft Road,"23.799495535917075, 90.44219899922044",Banasree Block D,"23.76356157045853, 90.43357238807245",8.1,8.1,,
100ft Road,"23.799495535917075, 90.44219899922044",Banasree Block F,"23.760662289525275, 90.43894806423826",7.56,7.56,,
100ft Road,"23.799495535917075, 90.44219899922044",Banasree Block H,"23.76056081478647, 90.44168161932465",8.02,8.02,,
100ft Road,"23.799495535917075, 90.44219899922044",Bangabandhu National Stadium,"23.72799213845677, 90.41316682376024",11.01,11.01,,
100ft Road,"23.799495535917075, 90.44219899922044",Bangabandhu Sheikh Mujib Medical University (BSMMU),"23.738538737338253, 90.39536639492475",11.58,11.58,,
100ft Road,"23.799495535917075, 90.44219899922044",Bangabazar,"23.72371785638331, 90.4058524372524",11.61,11.61,,
100ft Road,"23.799495535917075, 90.44219899922044",Bangla College,"23.784715054761264, 90.35250376609038",14.93,14.93,,
100ft Road,"23.799495535917075, 90.44219899922044",Baridhara DOHS,"23.813084105710036, 90.4129734607382",6.59,6.59,,
100ft Road,"23.799495535917075, 90.44219899922044",Basabo,"23.74201426029004, 90.42840780452333",10.62,10.62,,
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block A,"23.811377299032795, 90.42833436467546",3.4,3.4,,
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block B,"23.81421995228443, 90.4275173084465",3.82,3.82,,
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block C,"23.81949603415762, 90.42738524683234",3.92,3.92,,
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block D,"23.815210726954167, 90.43302101821708",2.88,2.88,,
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block E,"23.81019793984092, 90.4327785621583",2.65,2.65,,
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block F,"23.821188569971465, 90.4332893983635",3.47,3.47,,
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block G,"23.825185513881646, 90.43336989142703",3.88,3.88,,
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block H,"23.825616759705525, 90.43910577635016",3.69,3.69,,
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block I,"23.82042119889173, 90.43856529566207",3.03,3.03,,
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block J,"23.824910334974465, 90.44234315790804",3.25,3.25,,
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block K,"23.823004540402223, 90.44475635790837",3.05,3.05,,
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block L,"23.820766766555288, 90.44883331554995",3.16,3.16,,
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block M,"23.820570468762917, 90.45608600861756",4.58,4.58,,
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block N,"23.812690717028516, 90.46931281108469",4.3,4.05,,
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara City Mall,"23.75121557936337, 90.39070746794054",11.03,11.03,,
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Gate,"23.811875111391196, 90.4214912547236",3.93,3.93,,
100ft Road,"23.799495535917075, 90.44219899922044",Bijoy Sarani,"23.765074098817312, 90.38619011026924",9.11,9.11,,
100ft Road,"23.799495535917075, 90.44219899922044",Bijoynagar,"23.73469869947737, 90.41077232376051",9.93,9.93,,
100ft Road,"23.799495535917075, 90.44219899922044",BNS,"23.871046444820042, 90.40003507958563",12.35,12.35,,
100ft Road,"23.799495535917075, 90.44219899922044",Bongshal,"23.717267299148716, 90.40244543195982",13.78,13.78,,
100ft Road,"23.799495535917075, 90.44219899922044",Bosila,"23.755536214623834, 90.3561451998845",13.34,13.34,,
100ft Road,"23.799495535917075, 90.44219899922044",Botanical Garden,"23.81353999494071, 90.34753307433435",13.77,13.77,,
100ft Road,"23.799495535917075, 90.44219899922044",Brac University,"23.773372892644524, 90.42482029492592",7.11,7.11,,
100ft Road,"23.799495535917075, 90.44219899922044",BUET,"23.726717170489835, 90.39263491266497",12.51,12.51,,
100ft Road,"23.799495535917075, 90.44219899922044",Buriganga Bridge,"23.70898069854497, 90.40159267958012",14.77,14.77,,
100ft Road,"23.799495535917075, 90.44219899922044",Chairman Bari,"23.788615672371655, 90.40060816109144",5.55,5.55,,
100ft Road,"23.799495535917075, 90.44219899922044",Chandni Chawk Market,"23.733968595123564, 90.38483127181993",13.24,13.25,,
100ft Road,"23.799495535917075, 90.44219899922044",Chandrima Model Town,"23.755862234916634, 90.33788067958173",14.87,14.86,,
100ft Road,"23.799495535917075, 90.44219899922044",Chandrima Udyan,"23.766853501013795, 90.37808615074623",11.93,11.93,,
100ft Road,"23.799495535917075, 90.44219899922044",Chawk Bazar,"23.716016462326913, 90.39589182143904",13.4,13.4,,
100ft Road,"23.799495535917075, 90.44219899922044",Chawkbazar Shahi Mosque,"23.716081670095274, 90.39598779046787",13.39,13.39,,
100ft Road,"23.799495535917075, 90.44219899922044",Chowdhuripara,"23.753676744513747, 90.41950780332495",7.6,7.6,,
100ft Road,"23.799495535917075, 90.44219899922044",Curzon Hall,"23.72754625142948, 90.40189379492435",11.63,11.63,,
100ft Road,"23.799495535917075, 90.44219899922044",Dakshin Khan,"23.861187306883544, 90.42341146206438",13.76,13.85,,
100ft Road,"23.799495535917075, 90.44219899922044",Demra,"23.720722354482266, 90.48082217630154",16.17,16.54,,
100ft Road,"23.799495535917075, 90.44219899922044",Dhaka Airport,"23.843630641810666, 90.40288227958474",10.15,10.15,,
100ft Road,"23.799495535917075, 90.44219899922044",Dhaka College,"23.735731619622754, 90.38374921026826",13.84,13.84,,
100ft Road,"23.799495535917075, 90.44219899922044",Dhaka Medical College Hospital,"23.72582638915726, 90.39742002088578",12.07,12.07,,
100ft Road,"23.799495535917075, 90.44219899922044",Dhaka University,"23.73409560015957, 90.39294665259638",12.43,12.43,,
100ft Road,"23.799495535917075, 90.44219899922044",Dhakeshwari Temple,"23.723505780259483, 90.39006818516404",13.48,13.48,,
100ft Road,"23.799495535917075, 90.44219899922044",Dhanmondi  Road 13,"23.7534501255474, 90.37614999961175",11.88,11.88,,
100ft Road,"23.799495535917075, 90.44219899922044",Dhanmondi  Road 13A,"23.749643437271462, 90.36993975614091",13.12,13.12,,
100ft Road,"23.799495535917075, 90.44219899922044",Dhanmondi Lake,"23.747590981285224, 90.37807190540613",13.89,13.89,,
100ft Road,"23.799495535917075, 90.44219899922044",Dhanmondi Road 12,"23.752334369903934, 90.3759494331688",12.6,12.6,,
100ft Road,"23.799495535917075, 90.44219899922044",Dhanmondi Road 12A,"23.74689134102291, 90.37733359846021",13.79,13.79,,
100ft Road,"23.799495535917075, 90.44219899922044",Dhanmondi Road 14,"23.754456430984828, 90.37560027637075",12.0,12.0,,
100ft Road,"23.799495535917075, 90.44219899922044",Dhanmondi Road 14A,"23.750198566679202, 90.36920123869305",13.0,13.0,,
100ft Road,"23.799495535917075, 90.44219899922044",Dhanmondi Road 15,"23.75514495125052, 90.37519521715127",11.77,11.77,,
100ft Road,"23.799495535917075, 90.44219899922044",Dhanmondi Road 15A,"23.7523255680022, 90.37084019234493",12.67,12.67,,
100ft Road,"23.799495535917075, 90.44219899922044",Dhanmondi Road 16,"23.755538568281132, 90.37390856255229",11.96,11.96,,
