Pickup Area,"Popular Pickup Lat,Lon",Destination,"Popular Destination Lat, Lon"
100ft Road,"23.799495535917075, 90.44219899922044",300ft,"23.82964547788351, 90.44586855718306"
100ft Road,"23.799495535917075, 90.44219899922044",Abdullahpur,"23.878798883513277, 90.40140566107303"
100ft Road,"23.799495535917075, 90.44219899922044",Abul Hotel,"23.754778817124492, 90.41540918143296"
100ft Road,"23.799495535917075, 90.44219899922044",Agargaon,"23.778368928990123, 90.37892726054524"
100ft Road,"23.799495535917075, 90.44219899922044",Adabar,"23.773306970492246, 90.3547037547482"
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block A,"23.767873299704757, 90.42702936608984"
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block B,"23.766876165679978, 90.42883303416174"
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block C,"23.76599057441033, 90.43086163011533"
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block D,"23.764350745011754, 90.43551794462489"
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block E,"23.768967591654896, 90.43979727576547"
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block F,"23.767646824369876, 90.44095786608983"
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block G,"23.763993717450564, 90.44705739629664"
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block H,"23.761367264147058, 90.44274203622952"
100ft Road,"23.799495535917075, 90.44219899922044",Aftabnagar Block N,"23.77397492732673, 90.4585882845671"
100ft Road,"23.799495535917075, 90.44219899922044",Ahsan Manzil,"23.708817214034582, 90.40605307282843"
100ft Road,"23.799495535917075, 90.44219899922044",Airport Railway Station,"23.85187216330197, 90.40808625149042"
100ft Road,"23.799495535917075, 90.44219899922044",AIUB Pocket Gate,"23.82101339617473, 90.42737688630989"
100ft Road,"23.799495535917075, 90.44219899922044",Ansarbagh,"23.757823773705237, 90.43551384618688"
100ft Road,"23.799495535917075, 90.44219899922044",Arambagh,"23.731760422431627, 90.41892331465192"
100ft Road,"23.799495535917075, 90.44219899922044",Armanitola,"23.716311404960187, 90.40133975433335"
100ft Road,"23.799495535917075, 90.44219899922044",Armenian Church,"23.712709593488363, 90.40238466793929"
100ft Road,"23.799495535917075, 90.44219899922044",Asad Gate,"23.76003967622698, 90.37302587587926"
100ft Road,"23.799495535917075, 90.44219899922044",Ashkuna Haji Camp,"23.850536914491794, 90.41196425630297"
100ft Road,"23.799495535917075, 90.44219899922044",Ashulia,"23.897499133724487, 90.33078037428804"
100ft Road,"23.799495535917075, 90.44219899922044",Azad Mosque (Dhanmondi),"23.723457876062444, 90.38910539637354"
100ft Road,"23.799495535917075, 90.44219899922044",Azampur,"23.867843070567336, 90.40013983176523"
100ft Road,"23.799495535917075, 90.44219899922044",Azimpur,"23.72723004477641, 90.38621547855664"
100ft Road,"23.799495535917075, 90.44219899922044",Babubazar,"23.714359664356653, 90.39458752348794"
100ft Road,"23.799495535917075, 90.44219899922044",Badda,"23.780568079273614, 90.42649619466724"
100ft Road,"23.799495535917075, 90.44219899922044",Baitul Mukarram Mosque,"23.729491621601635, 90.4127217167163"
100ft Road,"23.799495535917075, 90.44219899922044",Baldha Garden,"23.716916774125067, 90.41941883725221"
100ft Road,"23.799495535917075, 90.44219899922044",Banani 11,"23.723160254991075, 90.38771374929166"
100ft Road,"23.799495535917075, 90.44219899922044",Banani SuperMarket,"23.79350541605234, 90.40689722271105"
100ft Road,"23.799495535917075, 90.44219899922044",Banani Block J,"23.796668895469587, 90.40603147773179"
100ft Road,"23.799495535917075, 90.44219899922044",Banani DOHS,"23.792950646497655, 90.39896914281933"
100ft Road,"23.799495535917075, 90.44219899922044",Banasree Block C,"23.762317411154488, 90.43041073855908"
100ft Road,"23.799495535917075, 90.44219899922044",Banasree Block D,"23.76356157045853, 90.43357238807245"
100ft Road,"23.799495535917075, 90.44219899922044",Banasree Block F,"23.760662289525275, 90.43894806423826"
100ft Road,"23.799495535917075, 90.44219899922044",Banasree Block H,"23.76056081478647, 90.44168161932465"
100ft Road,"23.799495535917075, 90.44219899922044",Bangabandhu National Stadium,"23.72799213845677, 90.41316682376024"
100ft Road,"23.799495535917075, 90.44219899922044",Bangabandhu Sheikh Mujib Medical University (BSMMU),"23.738538737338253, 90.39536639492475"
100ft Road,"23.799495535917075, 90.44219899922044",Bangabazar,"23.72371785638331, 90.4058524372524"
100ft Road,"23.799495535917075, 90.44219899922044",Bangla College,"23.784715054761264, 90.35250376609038"
100ft Road,"23.799495535917075, 90.44219899922044",Baridhara DOHS,"23.813084105710036, 90.4129734607382"
100ft Road,"23.799495535917075, 90.44219899922044",Basabo,"23.74201426029004, 90.42840780452333"
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block A,"23.811377299032795, 90.42833436467546"
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block B,"23.81421995228443, 90.4275173084465"
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block C,"23.81949603415762, 90.42738524683234"
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block D,"23.815210726954167, 90.43302101821708"
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block E,"23.81019793984092, 90.4327785621583"
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block F,"23.821188569971465, 90.4332893983635"
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block G,"23.825185513881646, 90.43336989142703"
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block H,"23.825616759705525, 90.43910577635016"
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block I,"23.82042119889173, 90.43856529566207"
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block J,"23.824910334974465, 90.44234315790804"
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block K,"23.823004540402223, 90.44475635790837"
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block L,"23.820766766555288, 90.44883331554995"
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block M,"23.820570468762917, 90.45608600861756"
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block N,"23.812690717028516, 90.46931281108469"
